name,address,rating
4 Rivers Smokehouse,"Orlando City Hall, 400 S Orange Ave, Orlando, FL 32801, USA",4.5
4 Rivers Smokehouse,"1869 W State Rd 434, Longwood, FL 32750, USA",4.5
4 Rivers Smokehouse,"1047 S Dillard St, Winter Garden, FL 34787, USA",4.5
Amura,"950 Market Promenade Ave, Lake Mary, FL 32746, USA",4.4
Anh Hong Restaurant,"1124 E Colonial Dr, Orlando, FL 32803, USA",4.4
Artisan's Table,"22 E Pine St, Orlando, FL 32801, USA",4.5
Artist Point,"901 Timberline Dr, Orlando, FL 32830, USA",4.5
Boma - Flavors of Africa,"2901 Osceola Pkwy, Orlando, FL 32830, USA",4.5
Bosphorous Turkish Cuisine,"7600 Dr. Phillips Blvd #108, Orlando, FL 32819, USA",4.5
Bubbalou's Bodacious Bar-B-Que,"5818 Conroy Rd, Orlando, FL 32835, USA",4.3
Bubbalou's Bodacious Bar-B-Que,"1471 Lee Rd, Winter Park, FL 32789, USA",4.3
Bubbalou's Bodacious BBQ,"12100 Challenger Pkwy, Orlando, FL 32826, USA",4.3
Bull and Bear,"14200 Bonnet Creek Resort Ln a, Orlando, FL 32821, USA",4.5
Café de France,"526 S Park Ave, Winter Park, FL 32789, USA",4.3
Café Tu Tu Tango,"8625 International Dr, Orlando, FL 32819, USA",4.3
California Grill,"4660 World Dr, Orlando, FL 32836, USA",4.5
Cask &amp; Larder,"1 Jeff Fuqua Blvd, Orlando, FL 32827, USA",4.5
Charley's Steak House,"2901 Parkway Blvd Suite 1A, Kissimmee, FL 34747, USA",4.5
Charley's Steak House,"8255 International Dr #100, Orlando, FL 32819, USA",4.5
Chatham's Place Restaurant,"7575 Dr. Phillips Blvd, Orlando, FL 32819, USA",4.6
Chef's Table at the Edgewater &amp; Tasting Room,"99 W Plant St, Winter Garden, FL 34787, USA",4.6
Chez Vincent,"533 W New England Ave, Winter Park, FL 32789, USA",4.4
Christinis Ristorante Italiano,"7600 Dr Phillips Blvd, Orlando, FL 32819, USA",4.5
Cítricos,"4401 Grand Floridian Way, Orlando, FL 32830, USA",4.6
Croissant Gourmet Bakery,"120 E Morse Blvd, Winter Park, FL 32789, USA",4.4
Eddie V's Prime Seafood,"7488 W Sand Lake Rd, Orlando, FL 32819, USA",4.6
Enzo's on the Lake,"1130 S US Highway 17 92, Longwood, FL 32750, USA",4.5
Ethos Vegan Kitchen,"B, 601 South New York Ave, Winter Park, FL 32789, USA",4.3
Fleming's Prime Steakhouse &amp; Wine Bar,"8030 Via Dellagio Way, Orlando, FL 32819, USA",4.5
Fogo de Chão Brazilian Steakhouse,"8282 International Dr, Orlando, FL 32819, USA",4.4
Hamilton's Kitchen,"300 E New England Ave, Winter Park, FL 32789, USA",4.3
Hanamizuki Japanese Restaurant,"8255 International Dr #136, Orlando, FL 32819, USA",4.3
Hawkers Asian Street Fare,"1103 N Mills Ave, Orlando, FL 32803, USA",4.4
Highball &amp; Harvest,"4012 Central Florida Pkwy, Orlando, FL 32837, USA",4.3
Hollerbach's Willow Tree Cafe,"205 E 1st St, Sanford, FL 32771, USA",4.5
Hot Dog Heaven,"5355 E Colonial Dr, Orlando, FL 32807, USA",4.5
Jiko - The Cooking Place,"2901 Osceola Pkwy, Orlando, FL 32830, USA",4.6
Johnnie's Hideaway,"12551 FL-535, Orlando, FL 32836, USA",4.4
Kabooki Sushi,"3122 E Colonial Dr, Orlando, FL 32803, USA",4.6
Kres Chophouse,"17 W Church St, Orlando, FL 32801, USA",4.3
Le Cellier Steakhouse,"1510 N Avenue, Orlando, FL 32830, USA",4.4
Linda's La Cantina Steak House,"4721 E Colonial Dr, Orlando, FL 32803, USA",4.5
Little Saigon,"1106 E Colonial Dr, Orlando, FL 32803, USA",4.4
Luma on Park,"290 S Park Ave, Winter Park, FL 32789, USA",4.5
Memories of India,"3895 Lake Emma Rd # 101, Lake Mary, FL 32746, USA",4.4
Morton's The Steakhouse,"7600 Dr Phillips Blvd Suite 132, Orlando, FL 32819, USA",4.5
Mythos at Universal's Islands of Adventure,"1000 Universal Studios Plaza, Orlando, FL 32819, USA",4.4
Nagoya Sushi,"7600 Dr Phillips Blvd #66, Orlando, FL 32819, USA",4.4
Narcoossee's,"4401 Grand Floridian, Orlando, FL 32830, USA",4.4
Ocean Prime,"7339 W Sand Lake Rd, 400, Orlando, FL 32819, USA",4.4
The Palm Orlando,"5800 Universal Blvd, Orlando, FL 32819, USA",4.5
Peperoncino,"7988 Via Dellagio Way #108, Orlando, FL 32819, USA",4.5
Pho 88 Vietnamese Restaurant,"730 N Mills Ave, Orlando, FL 32803, USA",4.3
Pio Pio Latin Cuisine Semoran,"2710, 2500 S Semoran Blvd, Orlando, FL 32822, USA",4.4
Pio Pio Maguire,"2594 Maguire Rd, Ocoee, FL 34761, USA",4.4
Pio Pio Restaurant,"5803 Precision Dr, Orlando, FL 32819, USA",4.4
Pom Pom's Teahouse &amp; Sandwicheria,"67 N Bumby Ave, Orlando, FL 32803, USA",4.5
Portobello Country Italian Trattoria,"1650 E Buena Vista Dr, Orlando, FL 32830, USA",4.3
Raglan Road Irish Pub,"1640 Buena Vista Dr, Orlando, FL 32830, USA",4.3
Restaurant Marrakesh,"1510 N Avenue of the Stars, Orlando, FL 32830, USA",4.3
Roy's Restaurant,"7760 W Sand Lake Rd, Orlando, FL 32819, USA",4.4
RusTeak,"2625 Edgewater Dr, Orlando, FL 32804, USA",4.4
Ruth's Chris Steak House,"80 Colonial Center Pkwy, Lake Mary, FL 32746, USA",4.6
Ruth's Chris Steak House,"7501 W Sand Lake Rd, Orlando, FL 32819, USA",4.6
Saffron Indian Cuisine,"7724 W Sand Lake Rd, Orlando, FL 32819, USA",4.3
Santiago's Bodega | Orlando,"802 Virginia Dr, Orlando, FL 32803, USA",4.5
Sea Thai Restaurant,"3812 E Colonial Dr, Orlando, FL 32803, USA",4.4
Seasons 52,"463 E Altamonte Dr, Altamonte Springs, FL 32701, USA",4.5
